Loaded 156,950 sources from data/benchmark/benchmark_master_v3.csv
Cards directory: cards/benchmark_v3
Workers: 8 | Timeout: 60s | Max retries: 3
Starting at 2026-03-02T09:16:25.223599+00:00
------------------------------------------------------------
Queued initial batch: 64 in-flight requests
[heartbeat] processed=271/156,950 in_flight=64 done=148 skipped=42 failed=81 cards=0.00GB elapsed=1h04m ETA=36 days, 23:13:38
[heartbeat] processed=271/156,950 in_flight=64 done=148 skipped=42 failed=81 cards=0.00GB elapsed=1h05m ETA=37 days, 6:06:48
[heartbeat] processed=272/156,950 in_flight=64 done=148 skipped=42 failed=82 cards=0.00GB elapsed=1h05m ETA=37 days, 13:29:52
[heartbeat] processed=275/156,950 in_flight=64 done=148 skipped=42 failed=85 cards=0.00GB elapsed=1h06m ETA=37 days, 21:09:20
[heartbeat] processed=278/156,950 in_flight=64 done=148 skipped=42 failed=88 cards=0.00GB elapsed=1h06m ETA=38 days, 4:39:18
[heartbeat] processed=278/156,950 in_flight=64 done=148 skipped=42 failed=88 cards=0.00GB elapsed=1h07m ETA=38 days, 11:32:28
[heartbeat] processed=278/156,950 in_flight=64 done=148 skipped=42 failed=88 cards=0.00GB elapsed=1h07m ETA=38 days, 18:25:33
[heartbeat] processed=279/156,950 in_flight=64 done=148 skipped=42 failed=89 cards=0.00GB elapsed=1h08m ETA=39 days, 1:44:10
[heartbeat] processed=279/156,950 in_flight=64 done=148 skipped=42 failed=89 cards=0.00GB elapsed=1h08m ETA=39 days, 8:37:06
[heartbeat] processed=280/156,950 in_flight=64 done=148 skipped=42 failed=90 cards=0.00GB elapsed=1h09m ETA=39 days, 15:59:48
[heartbeat] processed=286/156,950 in_flight=64 done=148 skipped=42 failed=96 cards=0.00GB elapsed=1h09m ETA=40 days, 1:33:57
[heartbeat] processed=286/156,950 in_flight=64 done=148 skipped=42 failed=96 cards=0.00GB elapsed=1h10m ETA=40 days, 8:27:05
[heartbeat] processed=286/156,950 in_flight=64 done=148 skipped=42 failed=96 cards=0.00GB elapsed=1h10m ETA=40 days, 15:20:10
[heartbeat] processed=287/156,950 in_flight=64 done=148 skipped=42 failed=97 cards=0.00GB elapsed=1h11m ETA=40 days, 22:29:22
[heartbeat] processed=287/156,950 in_flight=64 done=148 skipped=42 failed=97 cards=0.00GB elapsed=1h11m ETA=41 days, 5:22:32
[heartbeat] processed=287/156,950 in_flight=64 done=148 skipped=42 failed=97 cards=0.00GB elapsed=1h12m ETA=41 days, 12:15:50
[heartbeat] processed=288/156,950 in_flight=64 done=148 skipped=42 failed=98 cards=0.00GB elapsed=1h12m ETA=41 days, 19:38:23
[heartbeat] processed=294/156,950 in_flight=64 done=148 skipped=42 failed=104 cards=0.00GB elapsed=1h13m ETA=42 days, 2:54:37
[heartbeat] processed=294/156,950 in_flight=64 done=148 skipped=42 failed=104 cards=0.00GB elapsed=1h14m ETA=42 days, 9:47:43
[heartbeat] processed=294/156,950 in_flight=64 done=148 skipped=42 failed=104 cards=0.00GB elapsed=1h14m ETA=42 days, 16:40:57
[heartbeat] processed=295/156,950 in_flight=64 done=148 skipped=42 failed=105 cards=0.00GB elapsed=1h15m ETA=42 days, 23:51:03
[heartbeat] processed=295/156,950 in_flight=64 done=148 skipped=42 failed=105 cards=0.00GB elapsed=1h15m ETA=43 days, 6:44:11
[heartbeat] processed=295/156,950 in_flight=64 done=148 skipped=42 failed=105 cards=0.00GB elapsed=1h16m ETA=43 days, 13:37:25
[heartbeat] processed=296/156,950 in_flight=64 done=148 skipped=42 failed=106 cards=0.00GB elapsed=1h16m ETA=43 days, 20:59:36
[heartbeat] processed=302/156,950 in_flight=64 done=148 skipped=42 failed=112 cards=0.00GB elapsed=1h17m ETA=44 days, 4:15:18
[heartbeat] processed=302/156,950 in_flight=64 done=148 skipped=42 failed=112 cards=0.00GB elapsed=1h17m ETA=44 days, 11:08:30
[heartbeat] processed=302/156,950 in_flight=64 done=148 skipped=42 failed=112 cards=0.00GB elapsed=1h18m ETA=44 days, 18:01:41
[heartbeat] processed=303/156,950 in_flight=64 done=148 skipped=42 failed=113 cards=0.00GB elapsed=1h18m ETA=45 days, 1:11:45
[heartbeat] processed=303/156,950 in_flight=64 done=148 skipped=42 failed=113 cards=0.00GB elapsed=1h19m ETA=45 days, 8:04:51
[heartbeat] processed=303/156,950 in_flight=64 done=148 skipped=42 failed=113 cards=0.00GB elapsed=1h19m ETA=45 days, 14:58:05
[heartbeat] processed=304/156,950 in_flight=64 done=148 skipped=42 failed=114 cards=0.00GB elapsed=1h20m ETA=45 days, 22:20:28
[heartbeat] processed=310/156,950 in_flight=64 done=148 skipped=42 failed=120 cards=0.00GB elapsed=1h20m ETA=46 days, 5:36:16
[heartbeat] processed=310/156,950 in_flight=64 done=148 skipped=42 failed=120 cards=0.00GB elapsed=1h21m ETA=46 days, 12:29:17
[heartbeat] processed=311/156,950 in_flight=64 done=149 skipped=42 failed=120 cards=0.00GB elapsed=1h21m ETA=46 days, 14:21:06
[heartbeat] processed=311/156,950 in_flight=64 done=149 skipped=42 failed=120 cards=0.00GB elapsed=1h22m ETA=46 days, 21:12:13
[heartbeat] processed=315/156,950 in_flight=64 done=153 skipped=42 failed=120 cards=0.00GB elapsed=1h22m ETA=46 days, 5:37:34
[heartbeat] processed=315/156,950 in_flight=64 done=153 skipped=42 failed=120 cards=0.00GB elapsed=1h23m ETA=46 days, 12:20:04
[heartbeat] processed=315/156,950 in_flight=64 done=153 skipped=42 failed=120 cards=0.00GB elapsed=1h23m ETA=46 days, 19:02:32
[heartbeat] processed=318/156,950 in_flight=64 done=153 skipped=42 failed=123 cards=0.00GB elapsed=1h24m ETA=47 days, 2:42:30
[heartbeat] processed=319/156,950 in_flight=64 done=153 skipped=42 failed=124 cards=0.00GB elapsed=1h24m ETA=47 days, 9:54:43
[heartbeat] processed=319/156,950 in_flight=64 done=153 skipped=42 failed=124 cards=0.00GB elapsed=1h25m ETA=47 days, 16:37:12
[heartbeat] processed=322/156,950 in_flight=64 done=156 skipped=42 failed=124 cards=0.00GB elapsed=1h25m ETA=47 days, 6:16:40
[heartbeat] processed=323/156,950 in_flight=64 done=156 skipped=42 failed=125 cards=0.00GB elapsed=1h26m ETA=47 days, 13:15:02
[heartbeat] processed=323/156,950 in_flight=64 done=156 skipped=42 failed=125 cards=0.00GB elapsed=1h26m ETA=47 days, 19:51:25
[heartbeat] processed=326/156,950 in_flight=64 done=156 skipped=42 failed=128 cards=0.00GB elapsed=1h27m ETA=48 days, 3:24:35
[heartbeat] processed=326/156,950 in_flight=64 done=156 skipped=42 failed=128 cards=0.00GB elapsed=1h28m ETA=48 days, 10:01:01
[heartbeat] processed=328/156,950 in_flight=64 done=157 skipped=42 failed=129 cards=0.00GB elapsed=1h28m ETA=48 days, 11:03:38
[heartbeat] processed=328/156,950 in_flight=64 done=157 skipped=42 failed=129 cards=0.00GB elapsed=1h29m ETA=48 days, 17:37:52
[heartbeat] processed=330/156,950 in_flight=64 done=157 skipped=42 failed=131 cards=0.00GB elapsed=1h29m ETA=49 days, 0:46:42
[heartbeat] processed=331/156,950 in_flight=64 done=157 skipped=42 failed=132 cards=0.00GB elapsed=1h30m ETA=49 days, 7:45:56
[heartbeat] processed=333/156,950 in_flight=64 done=159 skipped=42 failed=132 cards=0.00GB elapsed=1h30m ETA=49 days, 3:26:20
[heartbeat] processed=334/156,950 in_flight=64 done=159 skipped=42 failed=133 cards=0.00GB elapsed=1h31m ETA=49 days, 10:56:57
[heartbeat] processed=334/156,950 in_flight=64 done=159 skipped=42 failed=133 cards=0.00GB elapsed=1h31m ETA=49 days, 17:27:10
[heartbeat] processed=336/156,950 in_flight=64 done=159 skipped=42 failed=135 cards=0.00GB elapsed=1h32m ETA=50 days, 0:16:53
[heartbeat] processed=338/156,950 in_flight=64 done=159 skipped=42 failed=137 cards=0.00GB elapsed=1h32m ETA=50 days, 7:21:59
[heartbeat] processed=338/156,950 in_flight=64 done=159 skipped=42 failed=137 cards=0.00GB elapsed=1h33m ETA=50 days, 13:52:23
[heartbeat] processed=341/156,950 in_flight=64 done=159 skipped=42 failed=140 cards=0.00GB elapsed=1h34m ETA=50 days, 21:48:49
[heartbeat] processed=341/156,950 in_flight=64 done=159 skipped=42 failed=140 cards=0.00GB elapsed=1h34m ETA=51 days, 4:19:11
[heartbeat] processed=344/156,950 in_flight=64 done=161 skipped=42 failed=141 cards=0.00GB elapsed=1h35m ETA=51 days, 0:32:48
[heartbeat] processed=344/156,950 in_flight=64 done=161 skipped=42 failed=141 cards=0.00GB elapsed=1h35m ETA=51 days, 6:59:21
[heartbeat] processed=344/156,950 in_flight=64 done=161 skipped=42 failed=141 cards=0.00GB elapsed=1h36m ETA=51 days, 13:26:06
[heartbeat] processed=347/156,950 in_flight=64 done=162 skipped=42 failed=143 cards=0.00GB elapsed=1h36m ETA=51 days, 14:22:43
[heartbeat] processed=351/156,950 in_flight=64 done=166 skipped=42 failed=143 cards=0.00GB elapsed=1h37m ETA=50 days, 21:09:26
[heartbeat] processed=353/156,950 in_flight=64 done=168 skipped=42 failed=143 cards=0.00GB elapsed=1h37m ETA=50 days, 16:33:41
[heartbeat] processed=358/156,950 in_flight=64 done=173 skipped=42 failed=143 cards=0.00GB elapsed=1h38m ETA=49 days, 18:25:56
[heartbeat] processed=361/156,950 in_flight=64 done=176 skipped=42 failed=143 cards=0.00GB elapsed=1h38m ETA=49 days, 8:33:00
[heartbeat] processed=362/156,950 in_flight=64 done=177 skipped=42 failed=143 cards=0.00GB elapsed=1h39m ETA=49 days, 9:31:28
[heartbeat] processed=362/156,950 in_flight=64 done=177 skipped=42 failed=143 cards=0.00GB elapsed=1h39m ETA=49 days, 15:29:53
[heartbeat] processed=364/156,950 in_flight=64 done=179 skipped=42 failed=143 cards=0.00GB elapsed=1h40m ETA=49 days, 11:23:22
[heartbeat] processed=367/156,950 in_flight=64 done=182 skipped=42 failed=143 cards=0.00GB elapsed=1h41m ETA=49 days, 1:56:37
