source_id,error,timestamp
4FGL J0029.4+2051,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:51:04.735925+00:00
4FGL J0028.5+2001,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:52:43.978517+00:00
4FGL J0028.8-0112,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T10:52:43.979730+00:00
4FGL J0301.5-7156,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T11:08:33.442783+00:00
4FGL J0301.0-1652,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T11:08:33.508282+00:00
4FGL J0259.5+1924,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T11:09:45.271635+00:00
4FGL J0259.4+0746,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T11:10:28.956567+00:00
4FGL J0258.1+2030,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T11:10:29.094246+00:00
4FGL J0259.3+5453,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T11:10:29.096967+00:00
4FGL J0402.9+6433,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T11:26:17.566965+00:00
4FGL J0402.1-3147,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T11:26:17.595901+00:00
5BZQ J1735+3616,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T13:06:51.105884+00:00
5BZB J1735+5650,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T13:07:16.294163+00:00
5BZQ J1739+4955,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T13:07:19.048122+00:00
5BZB J1756+5522,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T13:07:19.048221+00:00
5BZQ J1745+1720,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T13:13:19.886188+00:00
5BZB J1749+4321,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T13:14:49.551239+00:00
5BZU J1819-5521,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T13:14:49.628322+00:00
5BZU J1911+1611,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T13:16:41.159507+00:00
5BZQ J1855+3742,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T13:19:25.852037+00:00
5BZQ J1857-5325,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T13:19:25.852806+00:00
5BZQ J1854+7351,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T13:19:25.900443+00:00
5BZB J1853+6713,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T13:20:16.636866+00:00
5BZU J1829+4844,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T13:29:30.353757+00:00
5BZB J1829+5402,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T13:30:02.103169+00:00
5BZQ J1829-5813,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T13:30:02.148262+00:00
5BZQ J1826-3650,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T13:32:26.349869+00:00
5BZQ J1840+3900,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T13:38:54.252287+00:00
5BZG J1840-7709,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T13:38:54.285551+00:00
5BZQ J1838-3427,"HTTPSConnectionPool(host='irsa.ipac.caltech.edu', port=443): Read timed out. (read timeout=60)",2026-03-02T13:39:37.203646+00:00
