source_id,ra,dec,redshift,z_bin,class,y_true
081916.28+481745.5,124.817865,48.295981,0.223000,z_0.0-0.3,normal_agn,0
082942.94+283521.5,127.428941,28.589307,0.293784,z_0.0-0.3,normal_agn,0
080559.94+260602.3,121.499768,26.100662,0.136654,z_0.0-0.3,normal_agn,0
075805.17+393814.9,119.521567,39.637499,0.253240,z_0.0-0.3,normal_agn,0
082842.73+454433.2,127.178063,45.742581,0.049000,z_0.0-0.3,normal_agn,0
081252.76+102509.0,123.219852,10.419192,0.221800,z_0.0-0.3,normal_agn,0
075403.60+481428.0,118.515035,48.241128,0.274000,z_0.0-0.3,normal_agn,0
083859.56+530639.8,129.748176,53.111057,0.271000,z_0.0-0.3,normal_agn,0
080606.87+383402.1,121.528659,38.567261,0.250248,z_0.0-0.3,normal_agn,0
083410.44+331050.4,128.543504,33.180682,0.280000,z_0.0-0.3,normal_agn,0
075112.18+174351.7,117.800751,17.731043,0.186541,z_0.0-0.3,normal_agn,0
080816.71+530742.0,122.069647,53.128345,0.277442,z_0.0-0.3,normal_agn,0
080330.39+262824.0,120.876666,26.473347,0.253572,z_0.0-0.3,normal_agn,0
083522.28+260539.1,128.842863,26.094214,0.187649,z_0.0-0.3,normal_agn,0
074903.24+452053.6,117.263523,45.348224,0.201000,z_0.0-0.3,normal_agn,0
083917.35+392818.0,129.822310,39.471667,0.186190,z_0.0-0.3,normal_agn,0
082736.74+214220.3,126.903107,21.705657,0.203000,z_0.0-0.3,normal_agn,0
081957.28+103706.6,124.988672,10.618518,0.295400,z_0.0-0.3,normal_agn,0
081445.09+243635.0,123.687900,24.609724,0.297520,z_0.0-0.3,normal_agn,0
081317.91+435620.6,123.324658,43.939066,0.254661,z_0.0-0.3,normal_agn,0
083049.34+172826.3,127.705592,17.473995,0.270983,z_0.0-0.3,normal_agn,0
083343.47+074654.4,128.431155,7.781805,0.205786,z_0.0-0.3,normal_agn,0
083227.36+503505.7,128.114028,50.584943,0.286658,z_0.0-0.3,normal_agn,0
080314.81+091851.5,120.811718,9.314323,0.293000,z_0.0-0.3,normal_agn,0
081441.91+212918.5,123.674655,21.488473,0.163116,z_0.0-0.3,normal_agn,0
084419.70+450131.6,131.082100,45.025464,0.239000,z_0.0-0.3,normal_agn,0
075934.94+322143.3,119.895600,32.362031,0.268947,z_0.0-0.3,normal_agn,0
081801.46+205009.9,124.506117,20.836101,0.235000,z_0.0-0.3,normal_agn,0
081032.72+565105.2,122.636371,56.851463,0.276000,z_0.0-0.3,normal_agn,0
075057.26+353037.6,117.738605,35.510470,0.176398,z_0.0-0.3,normal_agn,0
083933.25+065119.6,129.888568,6.855451,0.234158,z_0.0-0.3,normal_agn,0
074957.44+312006.1,117.489339,31.335028,0.229827,z_0.0-0.3,normal_agn,0
083052.45+431419.9,127.718581,43.238864,0.251000,z_0.0-0.3,normal_agn,0
080142.15+514023.3,120.425626,51.673164,0.196181,z_0.0-0.3,normal_agn,0
084203.73+401831.2,130.515568,40.308694,0.151851,z_0.0-0.3,normal_agn,0
081506.01+562916.6,123.775062,56.487963,0.273836,z_0.0-0.3,normal_agn,0
082113.71+350305.0,125.307154,35.051402,0.293000,z_0.0-0.3,normal_agn,0
083829.09+294710.2,129.621234,29.786171,0.284497,z_0.0-0.3,normal_agn,0
