source_id,canonical_id,score,status,n_points,baseline_days,band_coverage,baseline_years,delta_mag,delta_mag_method,rejection_reason,status_normalized,baseline_years_recomputed,baseline_years_diff,baseline_years_consistent,is_ok,source_id_normalized,source_id_matches_canonical,id_mismatch_reason,is_ambiguous_id,has_w1,has_w2,strict_quality,score_is_missing,score_is_finite,rejection_bucket
000202.62+085628.4,000202.62+085628.4,0.5185697243577232,OK,214,5114.032814549995,"W1,W2",14.0014587667351,-0.2388262086734502,seasonal_median_flux,,OK,14.0014587667351,0.0,True,True,000202.62+085628.4,True,,False,True,True,True,False,True,ok
000203.11+315153.1,000203.11+315153.1,0.3821741772027117,OK,171,4908.633698229998,"W1,W2",13.439106634442158,0.3969385204294172,seasonal_median_flux,,OK,13.439106634442158,0.0,True,True,000203.11+315153.1,True,,False,True,True,True,False,True,ok
000203.62+183121.9,000203.62+183121.9,,TOO_FEW_POINTS,11,4910.81775835,"W1,W2",13.44508626516085,,,Only 11 epochs (need 20),TOO_FEW_POINTS,13.44508626516085,0.0,True,False,000203.62+183121.9,True,,False,True,True,False,True,False,few_epochs
000204.72-001755.0,000204.72-001755.0,,TOO_FEW_POINTS,17,2178.734335590001,"W1,W2",5.96504951564682,,,Only 17 epochs (need 20),TOO_FEW_POINTS,5.96504951564682,0.0,True,False,000204.72-001755.0,True,,False,True,True,False,True,False,few_epochs
000206.48+284933.5,000206.48+284933.5,0.0352779511262743,OK,228,5116.4256420599995,"W1,W2",14.008009971416836,0.0132402487287931,seasonal_median_flux,,OK,14.008009971416836,0.0,True,True,000206.48+284933.5,True,,False,True,True,True,False,True,ok
10010439191442176,10010439191442176,0.1498157189145258,OK,168,5098.7592097399975,"W1,W2",13.959641915783704,-0.0223140682548892,seasonal_median_flux,,OK,13.959641915783703,1.7763568394002505e-15,True,True,10010439191442176,True,,False,True,True,True,False,True,ok
10035624879191040,10035624879191040,,TOO_FEW_POINTS,30,5094.800522769998,"W1,W2",13.94880362154688,,,Only 4 pre-gap epochs (need 5); AllWISE data missing or insufficient,TOO_FEW_POINTS,13.94880362154688,0.0,True,False,10035624879191040,True,,False,True,True,False,True,False,few_epochs
10618228603355008,10618228603355008,0.3823507206790322,OK,123,5096.158954680002,"W1,W2",13.952522805420951,0.1495821764930106,seasonal_median_flux,,OK,13.952522805420951,0.0,True,True,10618228603355008,True,,False,True,True,True,False,True,ok
10762260330928128,10762260330928128,0.0584936794761271,OK,178,5099.230732239994,"W1,W2",13.960932874031467,0.0345445511364944,seasonal_median_flux,,OK,13.960932874031469,1.7763568394002505e-15,True,True,10762260330928128,True,,False,True,True,True,False,True,ok
11271506013429504,11271506013429504,0.1129107904766826,OK,145,5099.170004300002,"W1,W2",13.96076660999316,0.0006150186513881,seasonal_median_flux,,OK,13.960766609993161,1.7763568394002505e-15,True,True,11271506013429504,True,,False,True,True,True,False,True,ok
11346758135829376,11346758135829376,0.3649617932536321,OK,131,5099.176752949999,"W1,W2",13.960785086789867,0.0020474351095911,seasonal_median_flux,,OK,13.960785086789869,1.7763568394002505e-15,True,True,11346758135829376,True,,False,True,True,True,False,True,ok
11434886569349888,11434886569349888,0.3969716535525747,OK,155,5099.024202600005,"W1,W2",13.96036742669406,-0.2581562196670659,seasonal_median_flux,,OK,13.96036742669406,0.0,True,True,11434886569349888,True,,False,True,True,True,False,True,ok
11918706045404160,11918706045404160,0.368219311719086,OK,185,5099.143009380001,"W1,W2",13.960692701930189,0.0847960776216138,seasonal_median_flux,,OK,13.960692701930187,1.7763568394002505e-15,True,True,11918706045404160,True,,False,True,True,True,False,True,ok
11997565941688192,11997565941688192,0.0562152395580043,OK,192,5098.983832160004,"W1,W2",13.960256898453125,0.0028703809707467,seasonal_median_flux,,OK,13.960256898453125,0.0,True,True,11997565941688192,True,,False,True,True,True,False,True,ok
12315256082310144,12315256082310144,0.2672330542949671,OK,92,5098.878401059999,"W1,W2",13.95996824383299,-0.1625315722982824,seasonal_median_flux,,OK,13.95996824383299,0.0,True,True,12315256082310144,True,,False,True,True,True,False,True,ok
12428467123880448,12428467123880448,,TOO_FEW_POINTS,0,0.0,none,0.0,,,Only 4 valid W1 flux measurements,TOO_FEW_POINTS,0.0,0.0,True,False,12428467123880448,True,,False,False,False,False,True,False,too_few_points_other
12441214586847872,12441214586847872,0.544854321182142,OK,121,5099.06469436,"W1,W2",13.960478287091036,0.2845541829412624,seasonal_median_flux,,OK,13.960478287091036,0.0,True,True,12441214586847872,True,,False,True,True,True,False,True,ok
13107003236999040,13107003236999040,0.1316394692160831,OK,142,3275.0965059200025,"W1,W2",8.966725546666673,-0.0739442876827133,seasonal_median_flux,,OK,8.966725546666673,0.0,True,True,13107003236999040,True,,False,True,True,True,False,True,ok
13464726768753024,13464726768753024,0.1860481648834919,OK,175,5099.034389419998,"W1,W2",13.960395316687194,0.0211124518289896,seasonal_median_flux,,OK,13.960395316687194,0.0,True,True,13464726768753024,True,,False,True,True,True,False,True,ok
