source_id,label,color_slope_early,color_slope_late,color_asymmetry,color_range,color_flux_corr,color_flux_corr_pval,dust_lag_proxy,is_turnon_color_signal,is_turnoff_color_signal,n_epochs
5BZQ J1941-0211,blazar,0.0977016500878666,0.10525480202101796,0.9282393602180441,0.9680004000000011,-0.24085048805642584,0.0028918351428067392,-6.982373009084606,0,0,151
5BZB J0755+3726,blazar,0.22054276796694583,-0.1945701100496857,-1.1334873990184193,2.593999900000002,-0.5944277435396557,9.728638655912448e-15,4.947876393591379,0,0,140
5BZB J2038-2636,blazar,0.20100366770870065,0.03047900006657579,6.594824871867351,2.0129994999999994,-0.4935632627437779,1.201006030641216e-10,-1.748445291069132,0,0,151
4FGL J0741.4-8132,blazar,0.12044592174002175,-0.5771430324882434,-0.208693365353025,1.4330006000000015,-0.39115093191150074,0.011445864902297681,8.499177215871319,0,0,41
5BZQ J2121+1901,blazar,-0.10960235862282688,0.06140382817378973,-1.7849434128540331,1.406999599999999,-0.4529732384195602,2.1748074383539864e-05,4.1333978021694815,0,0,81
5BZQ J1802-4925,blazar,0.06677239664140955,0.22869077658868234,0.29197678033821517,2.0919989999999995,-0.6093069668507693,3.932065392341762e-13,-1.8992725299715234,0,0,116
5BZB J0558-7459,blazar,-0.01011740997297599,-0.03498080472842732,0.28922747922817305,2.1929990000000004,-0.17620245482724778,3.667680607077565e-06,-4.103532555307873,0,0,682
5BZQ J1924-2914,blazar,-0.02509412028820726,-0.026337641307123513,0.9527854068473506,0.284999899999999,0.2951539598178007,0.0016619513936484286,-0.04748922267186861,0,0,111
5BZU J0622+3326,blazar,-0.7700370307082368,0.258317866613886,-2.980966979954313,4.1669997,-0.014980193634424953,0.8504009436742573,-2.586950610535247,0,0,161
5BZG J2211-0023,blazar,0.23252976419577145,-0.05449870716248123,-4.266702391719356,1.6149997000000003,-0.27134150845945687,8.307558975370033e-05,-2.997329903490762,0,0,205
5BZQ J2117+0502,blazar,-0.07953407540813182,0.05058474727163426,-1.5722936200717381,1.760000100000001,-0.3118601674413789,0.0003995307288484117,-0.4499970715003428,0,0,125
5BZU J1941-6211,blazar,0.007672428447882323,-0.008250743431122616,-0.9299075303858277,0.5779990999999995,-0.4970619747359498,2.2209154585998844e-18,3.9001797949032193,0,0,272
5BZQ J0743-6726,blazar,-0.011813258010259016,0.053209666494107404,-0.22201338194005127,1.7270002000000009,-0.48358939121973343,1.3994485798802743e-33,3.3928612021054056,0,0,550
5BZQ J2118+0013,blazar,0.08140568667961023,-0.03847790610335951,-2.1156475214877326,1.5679998000000008,0.05175553832996134,0.4257645290443727,6.149272604081725,0,0,239
5BZQ J2225+2118,blazar,-0.046072033257202626,-0.04609475027584034,0.9995071669007475,1.5650005999999994,-0.2948968132909618,5.042837009456364e-07,-6.238677653232031,0,0,280
5BZB J2146-1344,blazar,-0.056564677078585215,-0.036646011037603655,1.5435425432946133,0.9349995,0.2416276603943452,0.004447552419211597,1.1997549048706375,0,0,137
5BZQ J1837-7108,blazar,0.037722712647896534,-0.04198620654317066,-0.8984548915870655,1.1820000999999998,-0.5406077512549816,3.590024617223609e-18,-2.5066362827241666,0,0,221
5BZQ J1807-6413,blazar,0.09750776986945565,-0.06128734784592466,-1.5909934643376722,1.8409996000000017,0.055844023694365905,0.4357272138929113,2.1998929810737846,0,0,197
5BZQ J0922-0529,blazar,0.13941136415549435,-0.06990577748201841,-1.9942752827740824,0.5799999000000007,0.2661803406096491,0.0004687869570057629,0.09946868936618757,0,0,169
5BZB J0707+6110,blazar,0.016168734190456297,-0.033471742132723394,-0.4830562486512782,0.42200090000000046,0.08004699517642894,0.16741413885549136,2.885565128823274,0,0,299
5BZG J1022+5124,blazar,0.0864895489709805,-0.04498806246021523,-1.9224999753538337,1.4660005999999992,-0.17569937864427787,0.012825453102279538,-0.29883971659466146,0,0,200
5BZQ J2322+0812,blazar,0.021669112333665266,0.1949615434282298,0.11114557236587638,1.3129998,-0.6603199559909202,1.6204519309064614e-09,1.9428876457128017,0,0,66
5BZB J0919+1106,blazar,-0.0423451998863741,-0.021791947400156157,1.9431581358383172,1.5250006999999997,-0.33306220728430214,1.7334332037476337e-06,-4.078736400228609,0,0,197
5BZB J0806+5931,blazar,0.004835818636463531,0.03826669273530058,0.1263714810661582,0.8059998000000004,-0.12352999255557277,0.03549951308258391,1.5092854027827523,0,0,290
5BZQ J2218+1520,blazar,-0.08718678033344733,-0.05904570570317587,1.4765981589200965,1.8920002,-0.41928733386483785,7.51747147595968e-12,-2.549734794526485,0,0,245
5BZB J2353-1458,blazar,-0.07822998574092649,0.10707351097727452,-0.7306194130267211,1.7200003000000006,-0.27650410490240995,0.0011689701336835352,0.44995290347556444,0,0,135
5BZQ J2047-1639,blazar,-0.08477768065577433,-0.048176137391338004,1.7597442478030052,1.4630003999999985,-0.41746497311099745,1.1024172321617269e-08,-5.994708681609855,0,0,173
