source_id,ra,dec,class,label_source,label_method,independent_of_pipeline,notes,mag,redshift
6151771852919552,40.4717917897,5.49839448332,star,2022A&A...667A.148G,Gaia DR3 variability,True,,14.132654,
7451665179765376,46.33966441601,6.95026267061,star,2022A&A...667A.148G,Gaia DR3 variability,True,,17.891428,
10010439191442176,51.84595873315,7.38957516784,star,2022A&A...667A.148G,Gaia DR3 variability,True,,14.542308,
8902505132032384,45.37921725412,8.75925994531,star,2022A&A...667A.148G,Gaia DR3 variability,True,,20.030045,
10618228603355008,49.55156385764,7.86968053477,star,2022A&A...667A.148G,Gaia DR3 variability,True,,17.585302,
6513300724650880,41.89162619785,5.87189952932,star,2022A&A...667A.148G,Gaia DR3 variability,True,,20.316847,
5856445606238336,41.32452528137,4.83362023601,star,2022A&A...667A.148G,Gaia DR3 variability,True,,18.472733,
9159172377805696,51.6178583435,5.65342717703,star,2022A&A...667A.148G,Gaia DR3 variability,True,,18.767607,
8322340949965312,43.38746412551,7.3976266357,star,2022A&A...667A.148G,Gaia DR3 variability,True,,19.649118,
5054111356737024,41.97514315237,4.48398238521,star,2022A&A...667A.148G,Gaia DR3 variability,True,,19.931501,
3822937505992960,46.1773770334,5.10029826666,star,2022A&A...667A.148G,Gaia DR3 variability,True,,12.096909,
11997565941688192,55.565117871,9.5684509227,star,2022A&A...667A.148G,Gaia DR3 variability,True,,15.6,
7077144031287808,44.62994707,5.81575572601,star,2022A&A...667A.148G,Gaia DR3 variability,True,,18.803331,
9921756706043776,51.67046456424,7.44406695258,star,2022A&A...667A.148G,Gaia DR3 variability,True,,20.393581,
11346758135829376,53.22715540121,7.89886058141,star,2022A&A...667A.148G,Gaia DR3 variability,True,,10.399204,
12441214586847872,52.2704035099,9.00360665621,star,2022A&A...667A.148G,Gaia DR3 variability,True,,19.046831,
6258695063604736,42.42262337196,5.47865004968,star,2022A&A...667A.148G,Gaia DR3 variability,True,,17.8719,
7106010507061632,44.69205894565,6.21378055878,star,2022A&A...667A.148G,Gaia DR3 variability,True,,18.599672,
8314820462535424,43.84788245137,7.44187514637,star,2022A&A...667A.148G,Gaia DR3 variability,True,,18.686298,
7627655759471360,45.62385232696,6.95921516575,star,2022A&A...667A.148G,Gaia DR3 variability,True,,18.23207,
9792426651349120,52.67828108149,7.15064165523,star,2022A&A...667A.148G,Gaia DR3 variability,True,,14.481409,
6940838949258240,46.31154488238,5.90940139586,star,2022A&A...667A.148G,Gaia DR3 variability,True,,20.259329,
4613348927136384,42.24822031328,3.16958335672,star,2022A&A...667A.148G,Gaia DR3 variability,True,,16.08005,
8328117681250688,43.42433905866,7.53174104141,star,2022A&A...667A.148G,Gaia DR3 variability,True,,19.773027,
6062299094282624,40.97935487388,5.03429757226,star,2022A&A...667A.148G,Gaia DR3 variability,True,,18.904568,
13107003236999040,53.99038091094,10.41720818654,star,2022A&A...667A.148G,Gaia DR3 variability,True,,19.183882,
11434886569349888,54.13675791373,8.37747809895,star,2022A&A...667A.148G,Gaia DR3 variability,True,,19.81257,
4645750160709248,42.83664951333,3.05678874313,star,2022A&A...667A.148G,Gaia DR3 variability,True,,7.312264,
5920045482070528,40.23082000791,4.36717946432,star,2022A&A...667A.148G,Gaia DR3 variability,True,,20.06775,
6827348733385856,44.59629895067,5.17907800208,star,2022A&A...667A.148G,Gaia DR3 variability,True,,19.92794,
8261936529703936,42.63617016193,7.28979663935,star,2022A&A...667A.148G,Gaia DR3 variability,True,,20.228306,
10762260330928128,50.90618911966,7.91020835421,star,2022A&A...667A.148G,Gaia DR3 variability,True,,19.98358,
7388752498494208,46.06536140696,6.29654419366,star,2022A&A...667A.148G,Gaia DR3 variability,True,,18.101336,
8286538102441600,42.75014798185,7.39363695671,star,2022A&A...667A.148G,Gaia DR3 variability,True,,19.349138,
8781765011889024,44.60717052902,8.41792790119,star,2022A&A...667A.148G,Gaia DR3 variability,True,,20.541746,
